"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 18, 2018","3,128.43","3,139.95","3,165.00","3,114.47","63.82K","-1.04%"
"Dec 17, 2018","3,161.20","3,158.28","3,167.51","3,134.37","66.50K","-0.15%"
"Dec 14, 2018","3,165.91","3,207.35","3,210.72","3,165.91","84.30K","-1.67%"
"Dec 13, 2018","3,219.69","3,178.89","3,234.08","3,169.42","90.44K","1.55%"
"Dec 12, 2018","3,170.61","3,181.57","3,182.21","3,160.28","53.31K","0.34%"
"Dec 11, 2018","3,159.82","3,148.23","3,161.96","3,143.61","53.22K","0.48%"
"Dec 10, 2018","3,144.76","3,153.52","3,170.15","3,134.38","63.44K","-1.16%"
"Dec 07, 2018","3,181.56","3,187.49","3,193.82","3,176.71","53.36K","-0.00%"
"Dec 06, 2018","3,181.67","3,218.11","3,223.52","3,179.89","76.33K","-2.16%"
"Dec 05, 2018","3,252.00","3,224.26","3,266.90","3,219.98","76.15K","-0.48%"
"Dec 04, 2018","3,267.71","3,256.23","3,267.94","3,243.70","79.42K","0.21%"
"Dec 03, 2018","3,260.95","3,260.69","3,273.64","3,228.36","121.49K","2.78%"
"Nov 30, 2018","3,172.69","3,136.20","3,175.15","3,132.42","70.92K","1.12%"
"Nov 29, 2018","3,137.65","3,198.83","3,204.86","3,137.65","80.50K","-1.30%"
"Nov 28, 2018","3,178.93","3,137.75","3,179.41","3,126.62","74.88K","1.33%"
"Nov 27, 2018","3,137.24","3,152.77","3,162.01","3,126.29","55.41K","-0.13%"
"Nov 26, 2018","3,141.24","3,148.67","3,169.44","3,131.64","59.38K","-0.07%"
"Nov 23, 2018","3,143.48","3,208.59","3,212.20","3,139.39","84.64K","-2.21%"
"Nov 22, 2018","3,214.43","3,232.97","3,235.45","3,199.70","65.10K","-0.37%"
"Nov 21, 2018","3,226.49","3,187.10","3,230.26","3,185.24","84.12K","0.25%"
"Nov 20, 2018","3,218.41","3,268.08","3,278.78","3,213.68","109.36K","-2.31%"
"Nov 19, 2018","3,294.60","3,258.79","3,294.60","3,251.07","115.96K","1.13%"
"Nov 16, 2018","3,257.67","3,242.88","3,282.39","3,223.72","126.88K","0.47%"
"Nov 15, 2018","3,242.37","3,201.28","3,242.38","3,198.78","98.56K","1.17%"
"Nov 14, 2018","3,204.94","3,233.64","3,239.24","3,200.23","113.81K","-1.00%"
"Nov 13, 2018","3,237.38","3,164.92","3,254.77","3,161.10","126.49K","1.01%"
"Nov 12, 2018","3,205.14","3,160.25","3,206.51","3,152.44","88.06K","1.19%"
"Nov 09, 2018","3,167.44","3,193.30","3,193.30","3,166.31","84.28K","-1.41%"
"Nov 08, 2018","3,212.77","3,251.73","3,253.57","3,207.71","76.42K","-0.28%"
"Nov 07, 2018","3,221.91","3,243.88","3,270.50","3,218.42","91.62K","-0.65%"
"Nov 06, 2018","3,243.15","3,254.98","3,254.98","3,213.89","83.87K","-0.60%"
"Nov 05, 2018","3,262.84","3,269.47","3,279.88","3,230.36","109.71K","-0.83%"
"Nov 02, 2018","3,290.25","3,258.61","3,290.25","3,222.44","153.47K","3.56%"
"Nov 01, 2018","3,177.03","3,185.20","3,217.80","3,173.10","132.65K","0.74%"
"Oct 31, 2018","3,153.82","3,116.66","3,168.92","3,106.03","111.21K","1.40%"
"Oct 30, 2018","3,110.26","3,061.93","3,146.63","3,050.77","116.07K","1.08%"
"Oct 29, 2018","3,076.89","3,157.49","3,158.81","3,062.58","91.84K","-3.05%"
"Oct 26, 2018","3,173.64","3,204.28","3,218.10","3,151.92","101.30K","-0.65%"
"Oct 25, 2018","3,194.31","3,107.84","3,197.32","3,099.89","106.95K","0.19%"
"Oct 24, 2018","3,188.20","3,169.46","3,245.40","3,164.29","110.91K","0.15%"
"Oct 23, 2018","3,183.43","3,273.13","3,276.02","3,163.57","121.01K","-2.66%"
"Oct 22, 2018","3,270.27","3,159.56","3,297.38","3,159.56","145.86K","4.32%"
