"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 28, 2017","22,783.98","22,912.05","22,954.45","22,736.43","519.04M","-0.56%"
"Dec 27, 2017","22,911.21","22,854.39","22,936.16","22,854.39","487.44M","0.08%"
"Dec 26, 2017","22,892.69","22,922.95","22,950.15","22,877.63","477.84M","-0.20%"
"Dec 25, 2017","22,939.18","22,909.41","22,948.83","22,870.19","444.48M","0.16%"
"Dec 22, 2017","22,902.76","22,850.73","22,908.84","22,801.16","802.25M","0.16%"
"Dec 21, 2017","22,866.10","22,852.01","22,894.95","22,728.06","753.33M","-0.11%"
"Dec 20, 2017","22,891.72","22,834.93","22,923.50","22,806.73","952.70M","0.10%"
"Dec 19, 2017","22,868.00","22,961.47","22,990.42","22,862.82","726.76M","-0.15%"
"Dec 18, 2017","22,901.77","22,770.44","22,927.50","22,735.20","878.11M","1.55%"
"Dec 15, 2017","22,553.22","22,621.36","22,745.09","22,478.32","1.03B","-0.62%"
"Dec 14, 2017","22,694.45","22,699.30","22,786.61","22,638.76","876.58M","-0.28%"
"Dec 13, 2017","22,758.07","22,879.27","22,879.37","22,697.32","941.92M","-0.47%"
"Dec 12, 2017","22,866.17","22,936.41","22,994.33","22,834.89","888.24M","-0.32%"
"Dec 11, 2017","22,938.73","22,894.30","22,938.73","22,787.40","716.03M","0.56%"
"Dec 08, 2017","22,811.08","22,627.95","22,819.71","22,625.41","1.10B","1.39%"
"Dec 07, 2017","22,498.03","22,317.15","22,515.24","22,317.15","820.30M","1.45%"
"Dec 06, 2017","22,177.04","22,525.38","22,528.21","22,119.21","1.00B","-1.97%"
"Dec 05, 2017","22,622.38","22,595.33","22,682.71","22,522.28","781.76M","-0.37%"
"Dec 04, 2017","22,707.16","22,843.53","22,864.33","22,693.99","710.49M","-0.49%"
"Dec 01, 2017","22,819.03","22,916.93","22,994.31","22,675.07","924.74M","0.41%"
"Nov 30, 2017","22,724.96","22,601.83","22,748.32","22,502.68","1.45B","0.57%"
"Nov 29, 2017","22,597.20","22,613.96","22,643.93","22,537.12","935.38M","0.49%"
"Nov 28, 2017","22,486.24","22,474.74","22,580.99","22,363.94","791.60M","-0.04%"
"Nov 27, 2017","22,495.99","22,657.08","22,659.33","22,423.40","687.22M","-0.24%"
"Nov 24, 2017","22,550.85","22,390.14","22,567.20","22,381.01","667.53M","0.12%"
"Nov 22, 2017","22,523.15","22,601.55","22,677.34","22,513.44","835.59M","0.48%"
"Nov 21, 2017","22,416.48","22,456.79","22,563.25","22,416.48","785.02M","0.70%"
"Nov 20, 2017","22,261.76","22,279.98","22,410.24","22,215.07","738.96M","-0.60%"
"Nov 17, 2017","22,396.80","22,603.30","22,757.40","22,319.12","1.17B","0.20%"
"Nov 16, 2017","22,351.12","21,975.23","22,392.13","21,972.34","995.95M","1.47%"
"Nov 15, 2017","22,028.32","22,250.98","22,305.24","22,004.79","1.24B","-1.57%"
"Nov 14, 2017","22,380.01","22,342.93","22,532.30","22,323.24","989.45M","-0.00%"
"Nov 13, 2017","22,380.99","22,607.56","22,607.92","22,380.99","831.86M","-1.32%"
"Nov 10, 2017","22,681.42","22,580.70","22,724.39","22,511.93","1.10B","-0.82%"
"Nov 09, 2017","22,868.71","22,989.44","23,382.15","22,522.83","1.65B","-0.20%"
"Nov 08, 2017","22,913.82","22,849.91","22,922.80","22,759.07","1.03B","-0.10%"
"Nov 07, 2017","22,937.60","22,518.75","22,953.18","22,512.91","1.11B","1.73%"
"Nov 06, 2017","22,548.35","22,612.96","22,644.68","22,435.34","1.15B","0.04%"
"Nov 02, 2017","22,539.12","22,512.18","22,540.25","22,400.01","1.09B","0.53%"
"Nov 01, 2017","22,420.08","22,144.92","22,455.92","22,130.03","1.16B","1.86%"
"Oct 31, 2017","22,011.61","21,897.29","22,020.38","21,840.07","1.06B","-0.00%"
"Oct 30, 2017","22,011.67","22,047.95","22,086.88","21,921.24","1.40B","0.01%"
"Oct 27, 2017","22,008.45","21,903.27","22,016.50","21,815.72","1.24B","1.24%"
"Oct 26, 2017","21,739.78","21,698.95","21,793.62","21,688.56","851.78M","0.15%"
"Oct 25, 2017","21,707.62","21,900.13","21,921.36","21,648.35","1.26B","-0.45%"
"Oct 24, 2017","21,805.17","21,670.00","21,805.17","21,646.52","909.35M","0.50%"
"Oct 23, 2017","21,696.65","21,709.30","21,723.60","21,614.51","901.47M","1.11%"
"Oct 20, 2017","21,457.64","21,390.95","21,489.26","21,363.10","883.84M","0.04%"
"Oct 19, 2017","21,448.52","21,450.04","21,503.85","21,381.52","872.21M","0.40%"
"Oct 18, 2017","21,363.05","21,374.66","21,402.76","21,317.67","749.50M","0.13%"
"Oct 17, 2017","21,336.12","21,352.17","21,393.96","21,230.67","953.06M","0.38%"
"Oct 16, 2017","21,255.56","21,221.27","21,347.07","21,187.93","1.06B","0.47%"
"Oct 13, 2017","21,155.18","20,959.66","21,211.29","20,933.00","1.14B","0.96%"
"Oct 12, 2017","20,954.72","20,958.18","20,994.40","20,917.04","828.76M","0.35%"
"Oct 11, 2017","20,881.27","20,803.71","20,898.41","20,788.12","826.59M","0.28%"
"Oct 10, 2017","20,823.51","20,680.54","20,823.66","20,663.08","807.15M","0.64%"
"Oct 06, 2017","20,690.71","20,716.85","20,721.15","20,659.15","781.86M","0.30%"
"Oct 05, 2017","20,628.56","20,650.71","20,667.47","20,602.26","590.57M","0.01%"
"Oct 04, 2017","20,626.66","20,660.81","20,689.08","20,592.18","758.47M","0.06%"
"Oct 03, 2017","20,614.07","20,475.25","20,628.38","20,438.17","749.77M","1.05%"
"Oct 02, 2017","20,400.78","20,400.51","20,411.33","20,363.28","697.04M","0.22%"
"Sep 29, 2017","20,356.28","20,315.34","20,370.33","20,285.06","876.67M","-0.03%"
"Sep 28, 2017","20,363.11","20,398.63","20,399.87","20,299.68","865.99M","0.47%"
"Sep 27, 2017","20,267.05","20,269.82","20,278.09","20,213.66","655.94M","-0.31%"
"Sep 26, 2017","20,330.19","20,349.26","20,385.50","20,303.98","978.61M","-0.33%"
"Sep 25, 2017","20,397.58","20,439.43","20,454.29","20,367.03","854.46M","0.50%"
"Sep 22, 2017","20,296.45","20,413.61","20,417.07","20,249.24","984.15M","-0.25%"
"Sep 21, 2017","20,347.48","20,456.50","20,481.27","20,332.69","1.19B","0.18%"
"Sep 20, 2017","20,310.46","20,301.33","20,339.37","20,272.82","1.04B","0.05%"
"Sep 19, 2017","20,299.38","20,128.18","20,320.78","20,122.00","1.25B","1.96%"
"Sep 15, 2017","19,909.50","19,793.80","19,933.40","19,787.65","1.15B","0.52%"
"Sep 14, 2017","19,807.44","19,860.37","19,918.39","19,793.85","966.18M","-0.29%"
"Sep 13, 2017","19,865.82","19,873.69","19,888.84","19,845.02","871.09M","0.45%"
"Sep 12, 2017","19,776.62","19,736.14","19,792.06","19,718.80","926.53M","1.18%"
"Sep 11, 2017","19,545.77","19,441.39","19,567.03","19,437.14","811.39M","1.41%"
