Player,Team,Pos,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Jin Hyuk Jang,HAN,OF,19,32,2,5,0,1,0,1,2,1,5,6,0,0,0,.156,.270,.219,.489
Young Seok Jang,KIA,3B,11,31,1,4,0,0,0,2,0,0,4,7,0,1,1,.129,.243,.129,.372
Gi Hun Jeong,HAN,3B,29,31,9,5,2,0,0,2,0,1,3,15,0,0,2,.161,.278,.226,.504
Hyeon Woo Kang,KTW,C,26,30,2,6,2,0,1,3,0,0,2,11,0,0,0,.200,.250,.367,.617
Ho Young Son,LG,IF,22,30,9,11,2,0,0,3,5,0,1,6,0,0,0,.367,.387,.433,.820
Seung Hyun Baek,LG,SS,27,28,5,7,1,0,0,2,0,0,4,8,6,0,1,.250,.308,.286,.593
Woon Ho Jang,HAN,OF,24,27,5,4,1,0,1,4,0,0,2,9,0,0,0,.148,.207,.296,.503
Min Jae Shin,LG,OF,67,26,26,8,1,0,0,5,8,2,4,4,2,0,0,.308,.375,.346,.721
Ye Il Seo,DOO,IF,39,25,4,6,2,0,0,1,0,0,3,7,0,1,0,.240,.310,.320,.630
Ji Soo Kim,HAN,OF,14,25,2,4,0,0,1,4,0,0,1,7,0,0,0,.160,.192,.280,.472
Ju Hong Park,KIW,OF,13,24,0,6,2,0,0,1,0,1,1,10,0,0,0,.250,.280,.333,.613
Seo Joon Yoo,SK,3B,28,24,10,6,1,0,1,2,1,1,1,7,0,0,0,.250,.280,.417,.697
Ji Hyuk Ryu,DOO,3B,20,24,10,10,2,0,1,4,0,1,1,5,1,2,3,.417,.452,.625,1.077
Jae Hyun Choo,LOT,OF,13,24,3,3,0,0,0,0,0,0,4,8,0,0,0,.125,.250,.125,.375
Hyun Woo Chae,SK,OF,16,23,2,3,1,0,0,0,3,0,1,8,0,0,0,.130,.167,.174,.341
Woo Hyun Yang,SAM,2B,7,23,0,3,0,0,0,0,0,0,1,5,0,0,0,.130,.167,.130,.297
Min Soo Kim,SAM,C,17,23,3,4,0,0,0,1,0,0,2,6,1,0,0,.174,.231,.174,.405
Jin Young Lee,KIA,OF,32,22,4,5,1,0,0,5,1,0,5,9,0,0,0,.227,.370,.273,.643
Chan Yeol Yang,DOO,OF,17,22,5,5,0,0,0,3,0,0,3,2,0,0,1,.227,.346,.227,.573
Tyler White,SK,1B,9,22,3,3,1,0,1,4,0,0,6,1,0,0,2,.136,.367,.318,.685
Byung Hee Kim,KTW,3B,29,21,4,3,0,0,1,2,0,0,0,7,0,1,0,.143,.136,.286,.422
Lo Han Kang,LOT,2B,16,21,6,4,0,0,0,1,2,1,4,6,0,0,1,.190,.346,.190,.537
Han Gyul Park,HAN,SS,12,20,5,3,0,0,0,1,0,0,2,8,2,0,0,.150,.208,.150,.358
Seung Hyun Jang,DOO,C,23,20,5,5,3,0,0,3,0,0,1,6,0,0,1,.250,.318,.400,.718
Jae Won Lee,LG,OF,16,20,1,1,0,0,0,0,0,0,2,11,0,0,0,.050,.136,.050,.186
Ji Hyuk Ryu,KIA,3B,5,18,3,6,1,0,0,1,1,0,0,1,0,0,2,.333,.400,.389,.789
Joo Chan Kim,KIA,1B,7,18,3,6,0,0,1,2,0,1,0,2,0,0,0,.333,.333,.500,.833
Hoe Sung Kim,HAN,1B,15,18,1,3,1,0,0,1,0,0,3,6,2,1,1,.167,.280,.222,.502
Hyun Bin Hong,KTW,OF,40,18,5,0,0,0,0,1,0,1,5,5,1,0,0,.000,.240,.000,.240
Dong Hoon Baek,DOO,OF,27,16,5,3,1,0,0,0,0,0,1,4,0,0,2,.188,.316,.250,.566
Jae Wook Park,LG,C,15,15,0,4,0,0,0,1,0,0,0,4,1,0,1,.267,.294,.267,.561
Seong Min Kim,SK,2B,9,14,4,4,0,0,2,4,0,0,1,3,0,0,1,.286,.375,.714,1.089
Jae Hyun Kim,SK,OF,8,14,3,2,0,0,0,0,0,0,0,4,0,0,0,.143,.143,.143,.286
Jae Hyun Kim,SK,C,8,14,3,2,0,0,0,0,0,0,0,4,0,0,0,.143,.143,.143,.286
Jae Hyun Kim,SAM,SS,35,14,4,2,0,0,0,4,0,0,3,3,1,0,0,.143,.278,.143,.421
Jang Hyuk Ko,KIA,3B,7,13,0,3,0,0,0,0,0,0,0,5,0,0,0,.231,.231,.231,.462
Woo Hyun Song,KIW,OF,14,12,3,0,0,0,0,0,0,0,2,4,0,0,1,.000,.200,.000,.200
Tae Yul Kang,LOT,C,14,11,2,5,0,0,2,2,0,0,7,2,0,0,0,.455,.667,1.000,1.667
Soo Hwan Kim,KIW,2B,9,11,1,2,1,0,0,2,0,0,1,5,0,0,0,.182,.250,.273,.523
Tae Hoon Do,NCD,SS,11,11,0,2,0,0,0,1,0,0,2,3,0,0,0,.182,.308,.182,.490
Seung Min Baek,SAM,2B,7,9,0,0,0,0,0,1,0,0,1,2,0,0,2,.000,.250,.000,.250
Sung Woo Yang,HAN,OF,5,9,1,2,0,0,0,0,0,0,0,3,0,0,0,.222,.222,.222,.444
Jung Min Choi,KIA,2B,23,9,12,1,0,0,0,2,0,0,2,1,0,0,0,.111,.273,.111,.384
Young Hwan Kim,KTW,2B,10,9,0,0,0,0,0,0,0,0,0,3,1,0,0,.000,.000,.000,.000
Ho Cheol Seo,NCD,3B,2,8,0,0,0,0,0,0,0,0,0,2,0,0,0,.000,.000,.000,.000
Sung Joon Ji,LOT,C,3,8,0,2,0,0,0,2,0,0,3,4,0,0,0,.250,.455,.250,.705
Min Soo Kim,LOT,3B,3,8,1,2,0,0,0,0,1,0,2,4,0,0,0,.250,.400,.250,.650
Sung Pyo Kim,SAM,SS,15,8,1,1,0,0,0,0,1,0,0,2,0,0,0,.125,.125,.125,.250
Geo Yeon Lee,SK,1B,8,8,1,1,0,0,0,0,0,0,2,6,0,0,0,.125,.300,.125,.425
Sung Keun Bae,LOT,2B,4,7,0,0,0,0,0,0,0,1,0,2,0,0,0,.000,.000,.000,.000
Yong Su Shin,LOT,SS,5,7,2,3,0,0,0,2,1,1,1,0,0,0,0,.429,.500,.429,.929
Young Hwan Kim,KIA,2B,4,7,0,0,0,0,0,0,1,1,1,2,0,0,0,.000,.125,.000,.125
Jae Won Choi,LG,3B,6,6,0,0,0,0,0,0,0,0,0,4,0,0,0,.000,.000,.000,.000
Seon Jae Moon,KIA,OF,15,6,1,1,0,0,0,0,0,0,0,2,0,0,0,.167,.167,.167,.333
Hyun Min Kim,HAN,SS,4,5,2,2,0,0,0,0,0,0,0,1,0,0,0,.400,.400,.400,.800
Min Su Jeon,LG,OF,4,5,0,1,0,0,0,0,0,0,1,2,0,0,0,.200,.333,.200,.533
Eun Sung Kim,KIW,2B,16,4,0,2,0,0,0,0,0,0,1,1,0,0,1,.500,.667,.500,1.167
Soo Gang Yoon,NCD,C,4,4,0,1,0,0,0,0,0,0,0,2,0,0,0,.250,.250,.250,.500
Jeong Hoon Lee,KIA,C,3,4,0,0,0,0,0,0,0,0,0,2,0,0,0,.000,.000,.000,.000
Myung Jin Oh,DOO,2B,5,4,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000
Seong Hyun Shin,DOO,3B,9,4,2,1,1,0,0,0,0,0,3,3,0,0,0,.250,.571,.500,1.071
Ho Jun Kim,LOT,C,5,3,0,0,0,0,0,0,0,0,1,2,0,0,0,.000,.250,.000,.250
Young Joon Yoo,NCD,2B,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
Seung Joon Choi,HAN,2B,2,3,1,1,0,0,0,1,0,0,0,2,0,0,1,.333,.500,.333,.833
Suk Hyun Han,LG,OF,9,2,3,0,0,0,0,0,1,0,1,1,0,0,0,.000,.333,.000,.333
Jun Hyuk Park,KTW,OF,12,2,2,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000
Ji Hoon Park,DOO,2B,10,2,1,0,0,0,0,0,0,0,0,2,0,0,0,.000,.000,.000,.000
Ki Hwan Kim,NCD,OF,4,2,1,1,1,0,0,0,0,0,0,0,0,0,0,.500,.500,1.000,1.500
Heung Ryun Lee,DOO,C,2,1,0,0,0,0,0,1,0,0,0,1,0,1,0,.000,.000,.000,.000
Ji Yeol Lim,KIW,OF,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
Byeong Hwi Kim,KIW,SS,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000
Min Park,KIA,2B,6,1,1,0,0,0,0,0,0,0,1,1,0,0,0,.000,.500,.000,.500
Eun Ho Jang,HAN,OF,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
Seung Min Lee,DOO,C,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000
Hyun Jung,SAM,SS,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
Tae Hoon Kim,SK,1B,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
